[INFO][2026-01-05 19:34:24,445][conftest] Запускаю браузер Playwright...
[INFO][2026-01-05 19:34:25,856][conftest] Браузер запущен
[INFO][2026-01-05 19:34:26,065][conftest] Страница создана и настроена
[INFO][2026-01-05 19:34:26,068][tests.test_skillbox] Запуск case_4: Фильтрация курсов на Skillbox
[INFO][2026-01-05 19:34:26,069][tests.test_skillbox] Открываю страницу курсов Skillbox
[INFO][2026-01-05 19:34:33,513][tests.test_skillbox] Выбираю тип курса: Профессия
[INFO][2026-01-05 19:34:33,979][tests.test_skillbox] ✓ Тип 'Профессия' выбран
[INFO][2026-01-05 19:34:33,979][tests.test_skillbox] Выбираю длительность: От 6 до 12 мес.
[INFO][2026-01-05 19:34:35,527][tests.test_skillbox] ✓ Длительность 'От 6 до 12 мес.' выбрана
[INFO][2026-01-05 19:34:37,541][tests.test_skillbox] Ожидаю обновления списка курсов
[INFO][2026-01-05 19:34:37,558][tests.test_skillbox] Найдено карточек: 12
[INFO][2026-01-05 19:34:37,814][tests.test_skillbox] ТЕСТ ПРОЙДЕН: Все курсы соответствуют фильтру длительности
