[INFO][2026-01-05 19:42:31,357][conftest] Запускаю браузер Playwright...
[INFO][2026-01-05 19:42:32,560][conftest] Браузер запущен
[INFO][2026-01-05 19:42:32,741][conftest] Страница создана и настроена
[INFO][2026-01-05 19:42:32,743][tests.test_github_issues] Запуск case_2: Фильтрация по автору bpasero и проверка результатов
[INFO][2026-01-05 19:42:35,510][tests.test_github_issues] Страница с issues загружена
[INFO][2026-01-05 19:42:36,244][tests.test_github_issues] Применяю фильтр по автору: 'bpasero'
[INFO][2026-01-05 19:42:37,116][tests.test_github_issues] Фильтр по автору 'bpasero' применен
[INFO][2026-01-05 19:42:37,117][tests.test_github_issues] Фильтр по автору применен
[INFO][2026-01-05 19:42:39,151][tests.test_github_issues] Найдено задач: 25
[INFO][2026-01-05 19:42:39,165][tests.test_github_issues] Найдено элементов автора: 25
[INFO][2026-01-05 19:42:39,366][tests.test_github_issues] ТЕСТ ПРОЙДЕН: Фильтрация по автору bpasero работает корректно
