[INFO][2026-01-05 19:07:40,891][conftest] Запускаю браузер Playwright...
[INFO][2026-01-05 19:07:42,401][conftest] Браузер запущен
[INFO][2026-01-05 19:07:42,655][conftest] Страница создана и настроена
[INFO][2026-01-05 19:07:42,658][tests.test_github_issues] Запуск case_2: Фильтрация по автору bpasero и проверка результатов
[INFO][2026-01-05 19:07:45,490][tests.test_github_issues] Страница с issues загружена
[INFO][2026-01-05 19:07:46,246][tests.test_github_issues] Применяю фильтр по автору: 'bpasero'
[INFO][2026-01-05 19:07:47,214][tests.test_github_issues] Фильтр по автору 'bpasero' применен
[INFO][2026-01-05 19:07:47,214][tests.test_github_issues] Фильтр по автору применен
[INFO][2026-01-05 19:07:49,308][tests.test_github_issues] Найдено задач: 25
[INFO][2026-01-05 19:07:49,322][tests.test_github_issues] Найдено элементов автора: 25
[INFO][2026-01-05 19:07:49,514][tests.test_github_issues] ТЕСТ ПРОЙДЕН: Фильтрация по автору bpasero работает корректно
