[INFO][2026-01-05 17:10:00,672][conftest] Запускаю браузер Playwright...
[INFO][2026-01-05 17:10:01,811][conftest] Браузер запущен
[INFO][2026-01-05 17:10:02,000][conftest] Страница создана и настроена
[INFO][2026-01-05 17:10:02,004][tests.test_skillbox] Запуск case_4: Фильтрация курсов на Skillbox
[INFO][2026-01-05 17:10:02,004][tests.test_skillbox] Открываю страницу курсов Skillbox
[INFO][2026-01-05 17:10:09,016][tests.test_skillbox] Выбираю тип курса: Профессия
[INFO][2026-01-05 17:10:09,535][tests.test_skillbox] ✓ Тип 'Профессия' выбран
[INFO][2026-01-05 17:10:09,536][tests.test_skillbox] Выбираю длительность: От 6 до 12 мес.
[INFO][2026-01-05 17:10:11,156][tests.test_skillbox] ✓ Длительность 'От 6 до 12 мес.' выбрана
[INFO][2026-01-05 17:10:11,181][tests.test_skillbox] Ожидаю обновления списка курсов
[INFO][2026-01-05 17:10:11,195][tests.test_skillbox] Найдено курсов после фильтрации: 10
[INFO][2026-01-05 17:10:11,196][tests.test_skillbox] ============================================================
[INFO][2026-01-05 17:10:11,196][tests.test_skillbox] НАЙДЕННЫЕ КУРСЫ:
[INFO][2026-01-05 17:10:11,196][tests.test_skillbox] ============================================================
[ERROR][2026-01-05 17:10:11,205][tests.test_skillbox] Курс #0: Ошибка при извлечении данных: 'Locator' object has no attribute 'flocator'
[ERROR][2026-01-05 17:10:11,206][tests.test_skillbox] Курс #1: Ошибка при извлечении данных: 'Locator' object has no attribute 'flocator'
[ERROR][2026-01-05 17:10:11,206][tests.test_skillbox] Курс #2: Ошибка при извлечении данных: 'Locator' object has no attribute 'flocator'
[ERROR][2026-01-05 17:10:11,206][tests.test_skillbox] Курс #3: Ошибка при извлечении данных: 'Locator' object has no attribute 'flocator'
[ERROR][2026-01-05 17:10:11,206][tests.test_skillbox] Курс #4: Ошибка при извлечении данных: 'Locator' object has no attribute 'flocator'
[ERROR][2026-01-05 17:10:11,207][tests.test_skillbox] Курс #5: Ошибка при извлечении данных: 'Locator' object has no attribute 'flocator'
[ERROR][2026-01-05 17:10:11,207][tests.test_skillbox] Курс #6: Ошибка при извлечении данных: 'Locator' object has no attribute 'flocator'
[ERROR][2026-01-05 17:10:11,207][tests.test_skillbox] Курс #7: Ошибка при извлечении данных: 'Locator' object has no attribute 'flocator'
[ERROR][2026-01-05 17:10:11,207][tests.test_skillbox] Курс #8: Ошибка при извлечении данных: 'Locator' object has no attribute 'flocator'
[ERROR][2026-01-05 17:10:11,208][tests.test_skillbox] Курс #9: Ошибка при извлечении данных: 'Locator' object has no attribute 'flocator'
[INFO][2026-01-05 17:10:11,216][tests.test_skillbox] ✓ ТЕСТ ПРОЙДЕН: Курсы успешно отфильтрованы
[INFO][2026-01-05 17:10:11,225][tests.test_skillbox] ✓ Найдено 10 корректных курсов после фильтрации
[INFO][2026-01-05 17:10:11,225][tests.test_skillbox] Тест фильтрации курсов завершен успешно
